Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,25.059,2484048,2479880,2421
2,23.124,2479868,2477268,2419
3,24.732,2481652,2477484,2419
4,28.145,2485420,2479420,2421
5,28.593,2485684,2480100,2421
6,24.617,2482852,2477512,2419
7,25.261,2485124,2477904,2419
8,23.369,2481000,2475664,2417
9,22.713,2484408,2479588,2421
10,22.578,2482536,2477704,2419
11,20.453,2483264,2478412,2420
12,24.617,2482152,2477512,2419
13,24.303,2486664,2481536,2423
14,26.496,2482932,2477524,2419
15,20.183,2482192,2477372,2419
16,21.149,2482736,2477904,2419
17,20.760,2481964,2477144,2419
18,19.886,2482388,2477536,2419
19,22.092,2482984,2477676,2419
20,20.472,2482740,2477404,2419
