Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,15.335,2482964,2477860,2419
2,15.203,2480908,2477788,2419
3,14.362,2481744,2478640,2420
4,14.528,2483032,2478344,2420
5,13.845,2482204,2476968,2418
6,14.454,2481220,2478976,2420
7,14.508,2485260,2478176,2420
8,14.769,2480764,2477660,2419
9,14.026,2485848,2480164,2422
10,13.837,2481028,2477904,2419
11,14.026,2484612,2477752,2419
12,13.960,2480564,2477452,2419
13,13.855,2481188,2478064,2419
14,14.250,2480188,2477064,2419
15,13.972,2481100,2477976,2419
16,14.052,2483860,2478156,2420
17,14.391,2484332,2479656,2421
18,13.903,2481424,2478308,2420
19,14.288,2485008,2478692,2420
20,14.194,2480628,2477504,2419
