Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,18.539,2478168,2475560,2417
2,15.147,2478656,2476904,2418
3,16.900,2480860,2476160,2418
4,19.289,2480664,2478052,2419
5,18.373,2480812,2478972,2420
6,17.164,2483088,2478388,2420
7,17.026,2479092,2477252,2419
8,13.881,2480412,2477804,2419
9,14.767,2479544,2476420,2418
10,14.486,2480368,2477252,2419
11,14.467,2479020,2477272,2419
12,14.202,2482268,2477584,2419
13,16.340,2479792,2476976,2418
14,15.595,2481324,2476636,2418
15,17.712,2479288,2477448,2419
16,17.632,2479676,2477080,2419
17,14.928,2479860,2477252,2419
18,15.498,2479984,2477388,2419
19,13.254,2480448,2478696,2420
20,14.610,2478676,2476912,2418
