Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,15.692,2480768,2477644,2419
2,16.866,2480712,2477588,2419
3,17.746,2481540,2476840,2418
4,17.302,2482584,2477892,2419
5,15.596,2480656,2477552,2419
6,21.687,2480764,2477640,2419
7,15.941,2479172,2476048,2418
8,17.938,2482148,2477468,2419
9,15.320,2480660,2477556,2419
10,15.350,2482120,2477420,2419
11,15.507,2483096,2477412,2419
12,14.266,2480656,2477536,2419
13,15.492,2481968,2477272,2419
14,18.267,2480828,2477708,2419
15,16.221,2482936,2478040,2419
16,16.044,2481140,2478016,2419
17,14.714,2480904,2477232,2419
18,14.875,2480280,2477680,2419
19,15.281,2480668,2477556,2419
20,15.046,2480484,2477360,2419
