Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,9.294,2495704,2495380,2436
2,9.197,2495028,2495028,2436
3,8.588,2495332,2495332,2436
4,8.618,2496320,2495296,2436
5,9.337,2499600,2495712,2437
6,10.074,2493952,2493952,2435
7,9.561,2495244,2494220,2435
8,8.667,2500056,2496324,2437
9,9.051,2496136,2495112,2436
10,9.322,2496236,2495164,2436
11,8.884,2496372,2495324,2436
12,9.307,2501552,2496660,2438
13,9.328,2495384,2495060,2436
14,10.070,2495392,2494368,2435
15,9.103,2496312,2495288,2436
16,8.940,2495192,2494940,2436
17,9.275,2495940,2494892,2436
18,10.106,2496320,2495292,2436
19,9.049,2494468,2494144,2435
20,10.212,2495260,2494952,2436
