Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,29.468,2483332,2478604,2420
2,27.031,2483124,2478956,2420
3,28.456,2483208,2478228,2420
4,27.507,2481000,2476044,2418
5,26.840,2485584,2480568,2422
6,27.189,2485352,2479896,2421
7,26.740,2482340,2477672,2419
8,28.288,2481560,2477392,2419
9,31.129,2485220,2480100,2421
10,27.057,2485412,2479028,2420
11,25.641,2484080,2478692,2420
12,28.523,2482844,2477976,2419
13,25.223,2484068,2479944,2421
14,27.172,2482704,2478536,2420
15,24.802,2482184,2478008,2419
16,25.963,2486076,2479420,2421
17,29.283,2481004,2477132,2419
18,33.342,2482616,2477564,2419
19,29.251,2487624,2481300,2423
20,27.201,2482464,2477128,2419
