Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,22.928,2479524,2477684,2419
2,20.832,2476608,2474768,2416
3,19.903,2479640,2476516,2418
4,19.428,2478828,2477064,2419
5,18.485,2479844,2477820,2419
6,17.670,2487216,2480552,2422
7,16.504,2482428,2477352,2419
8,20.767,2480856,2475792,2417
9,18.013,2480772,2476104,2418
10,17.651,2480104,2475412,2417
11,16.682,2482748,2477672,2419
12,20.065,2486352,2479796,2421
13,16.597,2479268,2476460,2418
14,17.795,2481772,2476936,2418
15,19.433,2478040,2476292,2418
16,18.327,2480244,2475565,2417
17,16.741,2478996,2477224,2419
18,16.028,2478796,2477060,2419
19,20.028,2478692,2476112,2418
20,17.827,2480196,2476304,2418
