Deney,Kırılım,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,8.979+1.503,10.482,2476020,2475208,2417
2,8.654+0.426,9.080,2479112,2478048,2419
3,7.237+0.438,7.675,2478516,2477440,2419
4,8.141+0.490,8.631,2478788,2477744,2419
5,7.944+0.439,8.383,2477640,2477388,2419
6,7.228+0.423,7.651,2476824,2476824,2418
7,8.178+0.455,8.633,2478772,2477740,2419
8,7.293+0.460,7.753,2476228,2476228,2418
9,7.188+0.639,7.827,2477572,2747572,2419
10,7.362+0.433,7.795,2477280,2477280,2419
11,8.227+0.471,8.698,2477200,2476948,2418
12,7.319+0.443,7.762,2480116,2477480,2419
13,8.293+0.513,8.806,2477616,2476388,2418
14,7.358+0.447,7.805,2477956,2477704,2419
15,7.256+0.418,7.674,2478024,2476968,2418
16,8.201+0.497,8.698,2477484,2477248,2419
17,7.184+0.433,7.617,2476404,2476404,2418
18,7.963+0.436,8.399,2477804,2477804,2419
19,6.632+0.427,7.059,2478592,2477556,2419
20,8.047+0.500,8.547,2477636,2476948,2418
