Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,14.710,2494672,2494672,2436
2,13.362,2496496,2495472,2436
3,16.173,2495224,2494196,2435
4,14.242,2496756,2495732,2437
5,14.057,2496792,2495720,2437
6,13.619,2497576,2497152,2438
7,13.954,2496020,2494996,2436
8,18.534,2495908,2495560,2437
9,17.761,2496320,2495996,2437
10,13.975,2509016,2501948,2443
11,13.632,2498540,2496280,2437
12,12.982,2496504,2495456,2436
13,12.765,2496696,2495672,2437
14,14.636,2494140,2494140,2435
15,14.664,2494980,2494980,2436
16,15.906,2495212,2494888,2436
17,14.778,2496240,2495920,2437
18,14.647,2496472,2495448,2436
19,14.999,2500696,2496456,2437
20,15.890,2495524,2494500,2436
