Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,36.455,2482896,2478052,2419
2,30.306,2483516,2477676,2419
3,31.865,2483984,2478456,2420
4,34.570,2488504,2484336,2426
5,28.914,2483344,2479376,2421
6,29.427,2483816,2478916,2420
7,27.465,2481216,2477048,2418
8,31.548,2481028,2476860,2418
9,27.237,2480256,2477104,2419
10,28.091,2483592,2479140,2421
11,28.266,2481532,2477364,2419
12,26.742,2482412,2479288,2421
13,30.043,2483040,2477700,2419
14,28.100,2480240,2477056,2419
15,32.833,2481728,2477560,2419
16,27.989,2483432,2478620,2420
17,30.612,2482088,2477268,2419
18,31.151,2495052,2487384,2429
19,28.712,2481332,2477236,2419
20,32.162,2482460,2477756,2419
