Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,9.575,2496704,2495680,2437
2,11.177,2494624,2493600,2435
3,10.075,2499476,2495328,2436
4,10.444,2493876,2493876,2435
5,10.925,2495196,2494172,2435
6,10.740,2502732,2500424,2441
7,10.100,2495488,2494460,2435
8,9.885,2495040,2494012,2435
9,9.400,2496640,2495256,2436
10,11.176,2494436,2493412,2434
11,9.990,2497072,2495828,2437
12,11.391,250003672,2496664,2438
13,11.316,2493544,2492520,2434
14,10.702,2503372,2500668,2442
15,9.958,2498728,2496168,2437
16,11.440,2495892,2495232,2436
17,9.812,2496044,2495020,2436
18,12.125,2496416,2495392,2436
19,11.307,2502080,2495020,2436
20,10.574,2495456,2494408,2435
