Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,39.875,2481912,2477100,2419
2,34.395,2485180,2479600,2421
3,34.085,2484544,2479248,2421
4,33.071,2482096,2477264,2419
5,34.146,2485444,2480348,2422
6,30.534,2481300,2477132,2419
7,30.000,2480476,2477356,2419
8,34.030,2481272,2477744,2419
9,33.613,2482400,2477564,2419
10,31.618,2482752,2477484,2419
11,30.413,2482344,2477184,2419
12,29.866,2487368,2481864,2423
13,29.373,2484576,24788884,2420
14,33.209,2482376,2478208,2420
15,31.602,2482492,2477628,2419
16,33.858,2493888,2487152,2428
17,31.626,2480224,2477104,2419
18,32.049,2482736,2477400,2419
19,35.239,2486736,2482292,2424
20,32.470,2483124,2478668,2420
