Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,12.664,2480804,2477680,2419
2,11.622,2481400,2479020,2420
3,12.593,2481220,2478252,2420
4,11.895,2482444,2477776,2419
5,13.594,2480300,2477188,2419
6,12.708,2479348,2477508,2419
7,11.986,2481104,2477984,2419
8,11.936,2486392,2478676,2420
9,11.699,2466640,2464868,2407
10,11.349,2480536,2477416,2419
11,10.976,2480240,2477120,2419
12,11.064,2481800,2478676,2420
13,10.795,2479556,2476432,2418
14,11.068,2479940,2477332,2419
15,11.223,2479252,2477484,2419
16,12.438,2480848,2477744,2419
17,12.763,2478772,2477004,2418
18,11.089,2481784,2480024,2421
19,11.166,2485256,2479188,2421
20,11.908,2480232,2477748,2419
