Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,12.468,2496744,2496436,2437
2,9.678,2499344,2494460,2435
3,9.617,2495368,2494344,2435
4,10.120,2496276,2495252,2436
5,9.953,2496360,2495336,2436
6,10.731,2494740,2494416,2435
7,9.927,2494856,2494856,2436
8,9.826,2496312,2495284,2436
9,10.874,2495036,2493964,2435
10,9.822,2507560,2500500,2441
11,9.989,2500576,2496600,2438
12,9.320,2495344,2495344,2436
13,9.598,2495560,2494536,2436
14,10.206,2498972,2494108,2435
15,10.370,2496240,2494560,2436
16,9.586,2495744,2495420,2436
17,10.416,2507364,2500308,2441
18,10.202,2495536,2494464,2436
19,9.692,2495896,2494872,2436
20,9.217,2497888,2496200,2437
