Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,9.569,2495816,2474792,2436
2,8.682,2496528,2495480,2436
3,9.393,2496996,2496672,2438
4,8.914,2496148,2495120,2436
5,8.650,2496040,2494992,2436
6,10.455,2494416,2494160,2435
7,9.216,2494928,2494928,2436
8,8.616,2495784,2494760,2436
9,9.889,2494096,2493844,2435
10,10.365,2494644,2493620,2435
11,8.611,2496380,2496380,2437
12,9.207,2500176,2495640,2437
13,9.288,2494592,2494592,2436
14,9.217,2500612,2495748,2437
15,10.066,2495544,2494016,2435
16,8.944,2496452,2495424,2436
17,9.558,2495452,2494424,2435
18,8.878,2494904,2494904,2436
19,9.628,2499016,2495804,2437
20,9.247,2496520,2495448,2436
