Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,12.152,2496032,2495008,2436
2,13.532,2499984,2497620,2439
3,11.815,2505608,2498416,2439
4,13.069,2496728,2495700,2437
5,12.293,2494016,2494636,2435
6,12.757,2501992,2496996,2438
7,11.070,2493848,2493848,2435
8,12.387,2493848,2492824,2434
9,11.603,2496324,2495300,2436
10,11.801,2496404,2495376,2436
11,19.164,2495068,2494816,2436
12,11.379,2495416,2494188,2435
13,11.080,2496536,2495512,2437
14,12.079,2504596,2497536,2439
15,11.748,2496448,2495424,2436
16,11.034,2495292,2494268,2435
17,11.322,2496288,2495264,2436
18,11.692,2496292,2495268,2436
19,11.147,2502600,2498580,2440
20,11.455,2501848,2496984,2438
