Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,11.140,2494800,2493128,2434
2,10.183,2494916,2494664,2436
3,10.016,2495992,2494968,2436
4,10.925,2494012,2493688,2435
5,10.070,2496236,2495004,2436
6,10.500,2495108,2494784,2436
7,11.023,2494800,2493552,2435
8,9.989,2496212,2495188,2436
9,9.847,2495480,2494456,2435
10,10.517,2495420,2494348,2435
11,9.932,2495436,2494396,2435
12,10.339,2495752,2494504,2436
13,9.763,2495900,2494876,2436
14,10.566,2504768,2500980,2442
15,10.643,2506264,2499204,2440
16,9.873,2495368,2495112,2436
17,10.325,2496312,2493920,2435
18,10.619,2494304,2493276,2434
19,10.130,2495716,2494692,2436
20,9.789,2496024,2494640,2436
