Deney,Kırılım,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,7.94+2.224,10.164,2478768,2477704,2419
2,8.542+2.434,10.976,2477244,2477244,2419
3,7.268+1.970,9.238,2478584,2477520,2419
4,7.189+2.003,9.192,2476692,2476692,2418
5,7.736+1.525,9.261,2477996,2476932,2418
6,10.255+4.908,15.163,2476656,2475964,2417
7,8.256+2.128,10.384,2478160,2477116,2419
8,8.035+1.832,9.417,2477240,2476988,2418
9,8.903+2.478,11.381,2477904,2476868,2418
10,7.627+2.184,9.811,2477644,2477644,2419
11,7.612+1.679,9.291,2477332,2477332,2419
12,8.591+2.200,10.791,2478268,2477024,2418
13,7.013+1.573,8.586,2478516,2477440,2419
14,8.129+2.144,10.273,2478216,2477148,2419
15,7.363+1.774,9.137,2477656,2476408,2418
16,8.383+1.805,10.188,2477456,2477204,2419
17,7.768+1.810,9.578,2478132,2478132,2420
18,8.571+5.411,13.982,2477872,2476840,2418
19,8.289+1.960,10.249,2478572,2477508,2419
20,7.742+2.398,10.140,2478568,2477504,2419
