Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,19.006,2481844,2477664,2419
2,23.376,2482220,2477544,2419
3,22.075,2482084,2476960,2418
4,21.993,2479748,2477140,2419
5,20.108,2482088,2477324,2419
6,20.071,2481088,2476920,2418
7,22.247,2480044,2477380,2419
8,22.262,2483092,2477752,2419
9,20.594,2482440,2478272,2420
10,19.221,2482092,2477416,2419
11,19.436,2484844,2477312,2419
12,20.329,2482508,2477324,2419
13,19.492,2485404,2481236,2423
14,18.551,2480972,2478456,2420
15,17.989,2482516,2477704,2419
16,19.111,2484012,2478804,2420
17,18.584,2482504,2478328,2420
18,20.527,2481864,2477696,2419
19,20.242,2481260,2477164,2419
20,20.595,2482388,2477192,2419
