Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,13.166,2495968,2495968,2437
2,10.456,2494972,2493948,2435
3,10.144,2502592,2495664,2437
4,11.243,2496396,2495344,2436
5,10.587,2494748,2494424,2435
6,10.133,2497288,2496040,2437
7,10.180,2495664,2494640,2436
8,11.896,2492440,2492184,2433
9,10.312,2495308,2494284,2435
10,10.351,2494628,2493604,2435
11,10.124,2496364,2495116,2436
12,11.448,2493224,2492900,2434
13,10.942,2494136,2493904,2435
14,9.953,2496856,2495832,2437
15,10.033,2495068,2494040,2435
16,10.148,2499688,2496720,2438
17,10.032,2494892,2493820,2435
18,10.099,2496176,2495148,2436
19,10.670,2493788,2493464,2435
20,10.327,2496344,2495116,2436
