Deney,Kırılım,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,11.547+2.461,14.008,2478056,2476828,2418
2,9.911+2.133,12.044,2476976,2476976,2418
3,11.838+2.298,14.136,2477068,2477068,2419
4,11.301+2.384,13.685,2477764,2476116,2418
5,9.767+2.109,11.876,2475392,2475388,2417
6,9.877+2.251,12.128,2476516,2475508,2417
7,11.911+2.534,14.445,2477168,2476916,2418
8,12.052+5.601,17.653,2477196,2477196,2419
9,12.598+3.675,16.273,2478692,2477464,2419
10,10.073+2.750,12.823,2477036,2477036,2418
11,9.890+4.840,14.730,2477040,2477040,2418
12,11.108+5.619,16.727,2479136,2479136,2421
13,10.442+5.010,15.452,2478488,2477464,2419
14,9.974+3.257,13.231,2477172,2477172,2419
15,9.992+2.332,12.324,2480436,2475808,2417
16,9.853+3.812,13.665,2475620,2475620,2417
17,12.855+2.526,15.381,2470708,2478148,2420
18,10.189+3.343,13.532,2475992,2475992,2417
19,9.834+2.864,12.698,2475668,2475668,2417
20,9.944+1.906,11.850,2478632,2477108,2419
