Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,10.237,2494580,2494256,2435
2,9.968,2500276,2497064,2438
3,11.286,2493556,2492532,2434
4,10.154,2496180,2495156,2436
5,9.417,2495128,2494876,2436
6,10.050,2495324,2494300,2435
7,10.377,2495088,2494060,2435
8,9.910,2500180,2495156,2436
9,12.393,2496292,2495964,2437
10,10.237,2494632,2493608,2435
11,10.224,2495032,2493960,2435
12,11.716,2498812,2493208,2434
13,11.253,2493560,2492532,2434
14,10.624,2493832,2493832,2435
15,10.336,2495484,2494460,2435
16,11.777,2497216,2492328,2433
17,11.437,2495328,2495328,2436
18,10.286,2494996,2493928,2435
19,10.265,2507020,2499360,2440
20,10.866,2493256,2493020,2434
