Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,9.677,2495560,2494868,2436
2,9.387,2496348,2495324,2436
3,9.383,2495180,2494928,2436
4,9.741,2495996,2494972,2436
5,8.820,2500640,2495632,2437
6,9.290,2497424,2496196,2437
7,9.772,2495424,2495100,2436
8,9.649,2495360,2494336,2435
9,9.572,2495308,2494284,2435
10,9.276,2503996,2497200,2438
11,9.842,2496580,2495156,2436
12,9.419,2495604,2494580,2436
13,11.445,2494600,2493576,2435
14,9.649,2495880,2494856,2436
15,10.369,2504304,2501208,2442
16,9.359,2508260,2501200,2442
17,9.307,2496304,2495280,2436
18,9.164,2496212,2495188,2436
19,9.847,2496700,2495468,2436
20,10.030,2500204,2495348,2436
