ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,VmPeak,VmSize,VmHWM,VmRSS,VmData,DeltaMemoryUsageInKbFromTop
4,distributed,8,smoc5,24.532,5348,2708,9684,15908,8108,2435
4,distributed,9,smoc1,42.159,7264,4800,24284,22004,9992,2434
4,distributed,9,smoc2,41.857,7404,6980,15648,24604,13964,2437
4,distributed,9,smoc3,41.792,6052,4128,17536,20616,9908,2436
4,distributed,9,smoc4,41.063,6244,4308,16912,22708,12312,2436
4,distributed,9,smoc5,24.887,7840,5008,14616,10096,6900,2438
4,distributed,10,smoc1,41.752,3256,4300,8212,17824,10832,2438
4,distributed,10,smoc2,40.807,3364,3168,9680,21292,9456,2436
4,distributed,10,smoc3,41.878,3144,4420,8152,18388,8224,2441
4,distributed,10,smoc4,41.739,3292,5668,15432,19508,11992,2435
4,distributed,10,smoc5,26.242,9136,2468,6996,944,6984,2438
4,centralized,1,smoc1,46.498,5268,4416,17820,19984,9148,2437
4,centralized,1,smoc2,46.663,7052,6804,24664,25024,12956,2435
4,centralized,1,smoc3,46.881,6852,2604,23836,21976,9624,2434
4,centralized,1,smoc4,46.557,6472,6940,22768,25184,13544,2436
4,centralized,1,smoc5,20.636,4836,368,10816,6852,2272,2440
4,centralized,2,smoc1,40.388,2292,4424,4804,14924,8184,2436
4,centralized,2,smoc2,40.526,6424,5912,16388,24708,11724,2436
4,centralized,2,smoc3,40.087,5296,5112,2356,14264,10988,2441
4,centralized,2,smoc4,40.459,7180,7116,14964,25896,13372,2435
4,centralized,2,smoc5,20.315,5588,1548,11752,14556,4772,2435
4,centralized,3,smoc1,41.144,5020,7956,12280,21792,14956,2436
4,centralized,3,smoc2,40.993,2912,4732,14664,21012,11004,2436
4,centralized,3,smoc3,40.845,8692,9484,23200,24048,16184,2436
4,centralized,3,smoc4,40.839,5296,4408,22388,20204,8392,2433
4,centralized,3,smoc5,20.885,5600,1548,7908,17368,4772,2436
4,centralized,4,smoc1,39.377,5756,3060,13268,17772,8620,2437
4,centralized,4,smoc2,39.387,1376,4204,7484,17636,7876,2437
4,centralized,4,smoc3,39.752,276,5324,9984,22452,11100,2437
4,centralized,4,smoc4,40.136,5316,5112,15056,20424,11152,2437
4,centralized,4,smoc5,19.278,2240,1840,4996,772,5712,2440
4,centralized,5,smoc1,65.924,5524,5320,21584,22288,11288,2436
4,centralized,5,smoc2,65.506,740,4784,9636,18796,9820,2435
4,centralized,5,smoc3,67.0,5524,1744,12812,13492,8284,2436
4,centralized,5,smoc4,65.711,756,5264,12552,21244,10080,2434
4,centralized,5,smoc5,19.838,5544,1028,7368,8156,4256,2438
4,centralized,6,smoc1,39.759,792,5124,11108,18376,11420,2435
4,centralized,6,smoc2,39.704,2368,5380,12280,24504,12512,2436
4,centralized,6,smoc3,39.629,9064,4424,17808,19252,10668,2435
4,centralized,6,smoc4,39.448,7284,6860,13468,20856,13152,2436
4,centralized,6,smoc5,20.654,2232,2336,8948,4596,1624,2438
4,centralized,7,smoc1,40.793,3340,5264,9516,21044,12004,2439
4,centralized,7,smoc2,40.493,4184,4412,1608,16732,7584,2439
4,centralized,7,smoc3,40.75,3120,4484,7524,17124,10468,2437
4,centralized,7,smoc4,40.074,5432,4684,22244,21396,8692,2434
4,centralized,7,smoc5,21.375,880,3180,6548,4716,364,2437
4,centralized,8,smoc1,42.183,2176,5328,4004,14516,8056,2435
4,centralized,8,smoc2,41.41,956,5592,9876,19600,9236,2438
4,centralized,8,smoc3,41.912,736,6460,6024,17232,9808,2437
4,centralized,8,smoc4,42.095,5328,7816,16184,22304,13292,2436
4,centralized,8,smoc5,21.331,5596,1028,8968,10080,4256,2436
4,centralized,9,smoc1,41.67,4248,4828,2872,15696,11552,2440
4,centralized,9,smoc2,40.945,2080,4460,6440,12880,6520,2436
4,centralized,9,smoc3,41.161,2068,6404,10848,23080,10228,2434
4,centralized,9,smoc4,40.738,5756,4424,20704,21700,10272,2435
4,centralized,9,smoc5,20.582,9904,6008,14080,12780,9500,2437
4,centralized,10,smoc1,41.197,7052,6804,14900,25700,13152,2436
4,centralized,10,smoc2,41.03,1936,5124,3292,15152,7456,2439
4,centralized,10,smoc3,41.466,928,5264,10472,18264,11228,2435
4,centralized,10,smoc4,40.832,1484,4304,8980,14916,6964,2435
4,centralized,10,smoc5,19.861,5548,1548,6256,11692,5032,2437
6,conventional,1,smoc1,66.268,3824,3228,12904,22168,9864,2439
6,conventional,1,smoc2,66.566,3244,2780,9784,21648,8504,2436
6,conventional,1,smoc3,66.261,11112,9812,23044,24200,17584,2440
6,conventional,1,smoc4,67.059,6972,3200,18736,20472,9952,2437
6,conventional,1,smoc5,66.676,8112,7544,23448,26820,15748,2437
6,conventional,1,smoc6,66.031,9752,9504,21568,24164,16772,2436
6,conventional,1,smoc7,27.165,8328,3352,14528,15792,7864,2438
6,conventional,2,smoc1,66.592,7020,7060,22580,28176,14056,2438
6,conventional,2,smoc2,66.306,5440,2284,8892,21644,10552,2440
6,conventional,2,smoc3,66.235,1816,5940,2580,15072,9380,2442
6,conventional,2,smoc4,66.276,5036,2164,23284,26148,10460,2437
6,conventional,2,smoc5,66.414,2248,5132,15660,21064,12296,2441
6,conventional,2,smoc6,66.4,6912,3768,12308,23836,9668,2441
6,conventional,2,smoc7,26.145,5352,1068,15704,13888,6040,2434
6,conventional,3,smoc1,67.599,6848,5344,9308,26420,13344,2441
6,conventional,3,smoc2,66.958,7052,4736,24480,24792,10652,2439
6,conventional,3,smoc3,67.602,352,5172,9552,21280,9860,2435
6,conventional,3,smoc4,66.763,2100,5324,11600,22232,9628,2436
6,conventional,3,smoc5,66.648,4864,4308,17024,22284,9760,2439
6,conventional,3,smoc6,67.698,2824,7316,13004,22112,14512,2435
6,conventional,3,smoc7,27.458,3124,1908,6256,2948,3128,2437
6,conventional,4,smoc1,66.573,8180,7156,24092,27496,14528,2438
