ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,VmPeak,VmSize,VmHWM,VmRSS,VmData,DeltaMemoryUsageInKbFromTop
8,distributed,8,smoc8,20.146,6884,9128,83048,85572,63900,4084
8,distributed,8,smoc9,8.576,11836,10764,198352,196380,220320,4074
8,distributed,9,smoc1,21.854,12424,8384,60812,78820,69940,4093
8,distributed,9,smoc2,20.521,744,10364,59252,81804,71600,4085
8,distributed,9,smoc3,20.989,3260,9340,91208,101600,88152,4078
8,distributed,9,smoc4,21.372,11076,7216,74132,81612,71460,4085
8,distributed,9,smoc5,21.565,7388,7392,87596,97096,68600,4077
8,distributed,9,smoc6,20.512,10608,10416,75568,83324,68348,4085
8,distributed,9,smoc7,21.78,9576,9248,62744,79476,71796,4089
8,distributed,9,smoc8,21.506,408,9320,63156,84380,69840,4087
8,distributed,9,smoc9,7.653,6456,3092,98160,97972,85280,4085
8,distributed,10,smoc1,20.747,8044,7556,71756,88264,65944,4083
8,distributed,10,smoc2,19.836,6328,5700,61132,71044,58920,4070
8,distributed,10,smoc3,21.713,12360,11524,32020,31844,20716,4076
8,distributed,10,smoc4,19.496,6620,6720,96796,106976,84720,4070
8,distributed,10,smoc5,20.99,12340,11896,64824,78656,65036,4085
8,distributed,10,smoc6,21.499,11552,8300,77944,81364,70492,4076
8,distributed,10,smoc7,20.76,10216,7036,38012,46148,51528,4088
8,distributed,10,smoc8,20.661,11300,9080,38840,40932,32676,4072
8,distributed,10,smoc9,6.369,16740,13792,79628,74260,94532,4087
8,conventional,1,smoc1,21.248,11592,10496,118316,125324,79780,4079
8,conventional,1,smoc2,20.977,13508,9640,139752,145264,84508,4084
8,conventional,1,smoc3,21.179,8816,7316,124380,127660,82548,4077
8,conventional,1,smoc4,20.325,13920,8624,105112,112420,71824,4080
8,conventional,1,smoc5,19.824,13168,7872,161056,170948,108664,4087
8,conventional,1,smoc6,20.507,9852,9020,121544,135100,81368,4089
8,conventional,1,smoc7,20.606,8264,7780,96320,112928,67560,4090
8,conventional,1,smoc8,20.711,12084,8280,54928,53272,66988,4084
8,conventional,1,smoc9,7.636,21272,19972,59248,57388,48504,4078
8,conventional,2,smoc1,20.951,13508,8576,103736,127368,76748,4091
8,conventional,2,smoc2,20.522,8460,7316,140032,160608,106268,4094
8,conventional,2,smoc3,21.187,8256,9100,150296,165984,110308,4083
8,conventional,2,smoc4,20.956,6776,10492,162892,183072,121648,4089
8,conventional,2,smoc5,20.19,13688,8392,127972,133692,84604,4067
8,conventional,2,smoc6,20.24,12056,11040,146624,153812,94664,4083
8,conventional,2,smoc7,20.561,11436,9460,110096,129748,69304,4089
8,conventional,2,smoc8,21.554,6420,7204,87348,98288,67436,4087
8,conventional,2,smoc9,7.613,3944,1524,170816,170740,147704,4083
8,conventional,3,smoc1,21.796,12092,7872,91296,107300,66288,4085
8,conventional,3,smoc2,20.357,9716,9328,60712,65952,73724,4090
8,conventional,3,smoc3,20.327,13300,9076,155496,165308,90692,4075
8,conventional,3,smoc4,21.572,9136,8272,153720,164428,87520,4094
8,conventional,3,smoc5,21.159,9976,11988,104616,111884,67816,4084
8,conventional,3,smoc6,21.678,14084,9544,142740,146880,95504,4073
8,conventional,3,smoc7,21.766,13456,8392,121612,134584,87508,4092
8,conventional,3,smoc8,21.242,7580,8080,121136,134804,84348,4088
8,conventional,3,smoc9,6.439,5156,1168,95628,90876,127464,4085
8,conventional,4,smoc1,22.318,13220,9764,92516,94360,58616,4086
8,conventional,4,smoc2,19.892,15660,13716,123936,126192,74144,4069
8,conventional,4,smoc3,20.843,12468,8660,126972,130592,89500,4084
8,conventional,4,smoc4,20.691,13276,10424,126204,134124,82432,4077
8,conventional,4,smoc5,21.423,13488,8840,58892,57788,59428,4076
