ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,VmPeak,VmSize,VmHWM,VmRSS,VmData,DeltaMemoryUsageInKbFromTop
4,distributed,2,smoc5,25.687,5002196, 4995836, 318872, 313360, 499624,2437
4,distributed,3,smoc1,43.33,-514608160, -521468872, 244746224, 231348956, 377112724,2435
4,distributed,3,smoc2,42.676,-393457240, -400757136, 250756080, 238186676, 390485980,2436
4,distributed,3,smoc3,41.979,-575300880, -582088132, 236793996, 228447996, 371241900,2439
4,distributed,3,smoc4,41.961,-697290192, -703166204, 227756064, 217033408, 357408336,2434
4,distributed,3,smoc5,26.439,5004296, 4997796, 322052, 312780, 502056,2439
4,distributed,4,smoc1,44.897,-400766040, -408746172, 249788384, 236866380, 389296160,2435
4,distributed,4,smoc2,45.149,-859110556, -865261484, 221884552, 210461804, 349933280,2440
4,distributed,4,smoc3,44.693,-500659940, -507777212, 239057264, 227237296, 377775852,2434
4,distributed,4,smoc4,43.934,-408347644, -415407364, 249384404, 234941036, 389550632,2436
4,distributed,4,smoc5,24.745,4994644, 4991704, 314112, 306440, 495888,2436
4,distributed,5,smoc1,42.969,-619774336, -626487632, 241279140, 229015460, 373634244,2442
4,distributed,5,smoc2,43.196,-474894496, -482097788, 250318420, 236046692, 390167336,2441
4,distributed,5,smoc3,42.31,-490197012, -497575892, 242935972, 229623216, 380984948,2436
4,distributed,5,smoc4,43.155,-575226304, -581968548, 239025716, 228040112, 371263440,2439
4,distributed,5,smoc5,27.492,4998596, 4993980, 314652, 312076, 497980,2438
4,distributed,6,smoc1,42.236,-413123528, -420569504, 247946220, 235316108, 384304952,2436
4,distributed,6,smoc2,41.809,-642595480, -649293356, 231429184, 219794664, 364255304,2435
4,distributed,6,smoc3,41.761,-719874848, -725852324, 227610904, 214641080, 354751132,2435
4,distributed,6,smoc4,42.855,-398268844, -410143892, 255904424, 239137284, 395128396,2439
4,distributed,6,smoc5,26.821,4993080, 4988612, 308048, 295700, 493264,2436
4,distributed,7,smoc1,42.369,-575652484, -582780264, 234393264, 223805376, 370064856,2436
4,distributed,7,smoc2,41.773,-664262088, -671176328, 232943660, 218584128, 362706032,2436
4,distributed,7,smoc3,42.427,-403475140, -412661672, 250475972, 236387268, 391942524,2437
4,distributed,7,smoc4,42.398,-529766704, -536950464, 240259012, 227862260, 376151660,2435
4,distributed,7,smoc5,27.380,5001776, 4997624, 320120, 310500, 501812,2441
4,distributed,8,smoc1,42.104,-539202900, -546389012, 237908820, 225751892, 372667124,2436
4,distributed,8,smoc2,41.808,-721345332, -728682940, 230536672, 218723312, 358880968,2437
4,distributed,8,smoc3,41.89,-396980936, -404010728, 251176728, 235599824, 387432532,2435
4,distributed,8,smoc4,41.599,-520379560, -527530712, 243315988, 230467600, 378136620,2436
4,distributed,8,smoc5,24.879,5002352, 4996260, 319464, 314572, 501616,2438
4,distributed,9,smoc1,40.626,-757343332, -763291476, 223140768, 212637300, 350899080,2434
4,distributed,9,smoc2,41.848,-563093460, -569789604, 235004488, 223641284, 370195548,2434
4,distributed,9,smoc3,41.68,-522149008, -528903452, 240326760, 228172852, 376758736,2436
4,distributed,9,smoc4,41.704,-336154136, -343691360, 256008976, 239868988, 400096104,2438
4,distributed,9,smoc5,25.551,5006616, 5000192, 325852, 318224, 503588,2442
4,distributed,10,smoc1,44.503,-513345136, -521067504, 239789336, 228069508, 377779476,2435
4,distributed,10,smoc2,43.841,-669886920, -676784212, 232931776, 222034860, 363726528,2436
4,distributed,10,smoc3,43.865,-612705024, -619618488, 232704988, 221711540, 366785568,2434
4,distributed,10,smoc4,43.246,-377887524, -386124940, 250939176, 239499352, 392348552,2436
4,distributed,10,smoc5,27.868,5000768, 4994964, 314068, 309260, 499756,2437
4,centralized,1,smoc1,46.183,-519937876, -526590148, 239646756, 230269300, 378193616,2437
