ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,VmPeak,VmSize,VmHWM,VmRSS,VmData,DeltaMemoryUsageInKbFromTop,ObjectSize
6,centralized,6,smoc1,13.403,10496,14652,78340,82728,57180,3533,86400
6,centralized,6,smoc2,13.625,7092,9980,99944,106032,57380,3533,86400
6,centralized,6,smoc3,14.086,8952,9764,81516,104644,54624,3560,86400
6,centralized,6,smoc4,14.248,13500,10804,74212,87000,57804,3543,86400
6,centralized,6,smoc5,14.495,12660,11220,127620,135208,77972,3534,86400
6,centralized,6,smoc6,13.274,12932,13012,98816,105592,65220,3534,86400
6,centralized,6,smoc7,4.509,4328,544,57280,57260,63012,3535,86400
6,centralized,7,smoc1,13.183,6616,10484,51784,73912,41320,3554,86400
6,centralized,7,smoc2,13.758,12808,10340,133252,141256,77708,3553,86400
6,centralized,7,smoc3,13.902,7452,9252,97024,107172,57084,3555,86400
6,centralized,7,smoc4,12.616,8384,6056,108364,125232,73440,3548,86400
6,centralized,7,smoc5,13.851,12980,10416,117284,117504,67172,3532,86400
6,centralized,7,smoc6,14.121,9816,7604,90776,107340,54716,3548,86400
6,centralized,7,smoc7,5.052,6820,5324,45940,45976,64380,3539,86400
6,centralized,8,smoc1,13.629,13904,10600,74960,91280,53180,3549,86400
6,centralized,8,smoc2,13.302,12100,11076,156128,156656,94780,3532,86400
6,centralized,8,smoc3,13.09,7280,9320,88312,99272,48088,3536,86400
6,centralized,8,smoc4,13.6,7332,10072,40208,73256,61644,3559,86400
6,centralized,8,smoc5,12.852,11400,8576,68664,92364,56524,3559,86400
6,centralized,8,smoc6,14.599,13452,11448,111360,121372,70940,3550,86400
6,centralized,8,smoc7,5.087,7360,5240,73280,77868,55672,3536,86400
6,centralized,9,smoc1,13.294,18004,16820,106080,109028,70556,3537,86400
6,centralized,9,smoc2,14.056,8808,10072,98584,126216,67180,3557,86400
6,centralized,9,smoc3,13.996,13076,11036,121364,121276,66876,3532,86400
6,centralized,9,smoc4,12.762,14172,13476,89324,88284,59256,3531,86400
6,centralized,9,smoc5,13.396,13232,13204,63948,87428,47636,3556,86400
6,centralized,9,smoc6,13.186,8504,9984,100100,106612,61084,3533,86400
6,centralized,9,smoc7,4.735,0,2360,41968,42400,58160,3535,86400
6,centralized,10,smoc1,13.321,11696,11240,137116,141664,86944,3529,86400
6,centralized,10,smoc2,14.784,12764,10540,135968,143340,79416,3535,86400
6,centralized,10,smoc3,14.105,7732,9720,123592,134104,67136,3555,86400
6,centralized,10,smoc4,15.062,6656,6324,73060,86004,45804,3551,86400
6,centralized,10,smoc5,13.911,9456,11024,105608,116872,65632,3537,86400
6,centralized,10,smoc6,13.64,13268,10640,67132,71640,57636,3532,86400
6,centralized,10,smoc7,5.942,12368,12116,128700,128428,115696,3554,86400
6,distributed,1,smoc1,15.188,10684,11680,81532,108472,57624,3555,110240
6,distributed,1,smoc2,15.7,5840,8200,48804,72180,40296,3560,109800
6,distributed,1,smoc3,15.324,13684,8624,75172,75836,50832,3536,111360
6,distributed,1,smoc4,14.595,13684,11172,77132,85792,57628,3554,111000
6,distributed,1,smoc5,15.547,13268,10816,89388,100880,53352,3539,110440
6,distributed,1,smoc6,14.879,8120,10752,102120,112540,66972,3538,109560
6,distributed,1,smoc7,5.845,26408,18724,139892,137912,103364,3550,230400
6,distributed,2,smoc1,13.663,6780,9572,136408,143588,81052,3535,110600
6,distributed,2,smoc2,13.85,6056,10804,68544,92292,59836,3560,109360
6,distributed,2,smoc3,13.964,11672,10520,99904,107148,57144,3552,109080
6,distributed,2,smoc4,14.058,12452,10724,70960,84388,48980,3541,111600
6,distributed,2,smoc5,14.331,13916,11780,98956,101500,59024,3552,111600
6,distributed,2,smoc6,13.478,13248,9340,121696,124284,65556,3531,110160
6,distributed,2,smoc7,6.832,8992,2500,90372,90120,71008,3541,230400
6,distributed,3,smoc1,13.481,17676,12520,106524,109280,62496,3531,110000
6,distributed,3,smoc2,13.371,7784,12008,48448,69040,60528,3558,111040
6,distributed,3,smoc3,14.077,8652,11504,100744,114460,65560,3552,110040
6,distributed,3,smoc4,13.955,11840,11008,132336,135072,68264,3532,110520
6,distributed,3,smoc5,13.118,10232,10508,85176,88456,46824,3532,110160
6,distributed,3,smoc6,14.002,7912,6000,79104,85892,55256,3533,110640
6,distributed,3,smoc7,6.680,13900,9032,55264,52276,68784,3546,230400
6,distributed,4,smoc1,13.108,7404,11984,76280,103132,61928,3557,111240
6,distributed,4,smoc2,13.834,4656,10200,90816,100688,62056,3554,109200
6,distributed,4,smoc3,13.817,6956,10424,73712,82464,45724,3535,109920
6,distributed,4,smoc4,13.641,13864,9600,78096,86424,48444,3533,110760
6,distributed,4,smoc5,14.331,13732,10572,58680,62512,57224,3532,110160
6,distributed,4,smoc6,13.555,13500,11532,93300,98492,56272,3534,111120
6,distributed,4,smoc7,6.332,11004,9940,92548,91824,145460,3549,230400
6,distributed,5,smoc1,14.7,9100,11752,87420,97148,60092,3536,109160
6,distributed,5,smoc2,13.868,7292,9784,88644,92880,51280,3534,110480
6,distributed,5,smoc3,15.153,7156,9592,70428,81028,73448,3540,110760
6,distributed,5,smoc4,14.856,9696,10304,56164,82028,45892,3556,110360
6,distributed,5,smoc5,14.142,11664,10612,92368,105472,63420,3536,109920
6,distributed,5,smoc6,14.469,5396,10040,126236,141924,82260,3539,111720
6,distributed,5,smoc7,5.888,12276,9640,119056,117092,145340,3545,230400
6,distributed,6,smoc1,14.574,10752,9388,109708,115304,54704,3533,108840
6,distributed,6,smoc2,13.517,9348,10752,56100,82236,47368,3557,109880
6,distributed,6,smoc3,13.402,9736,10368,95864,105076,58256,3532,111080
6,distributed,6,smoc4,13.51,8932,11268,71904,100112,56404,3557,110560
6,distributed,6,smoc5,14.405,11208,10772,95920,106004,56424,3537,110160
6,distributed,6,smoc6,13.151,11420,10172,135148,138528,70076,3531,111880
6,distributed,6,smoc7,5.997,8612,3764,125292,122836,177368,3536,230400
6,distributed,7,smoc1,13.886,6728,9720,109276,119100,62208,3531,110240
6,distributed,7,smoc2,13.736,12412,12148,46712,54968,48804,3539,110520
6,distributed,7,smoc3,13.491,572,9720,95500,118220,65520,3545,108240
6,distributed,7,smoc4,13.071,10212,11396,131468,139408,86088,3536,111120
6,distributed,7,smoc5,12.535,16768,16784,78772,87580,50056,3539,111080
6,distributed,7,smoc6,14.653,7376,11236,79772,91568,47160,3554,111200
6,distributed,7,smoc7,5.670,12436,15196,40472,47648,80812,3561,230400
6,distributed,8,smoc1,14.212,8652,11356,55488,85844,49400,3556,109000
6,distributed,8,smoc2,13.854,6052,9044,90320,108740,57612,3545,110520
6,distributed,8,smoc3,13.296,10544,11308,133056,138336,79368,3534,111520
6,distributed,8,smoc4,13.213,11060,10824,67320,86300,45780,3555,110400
6,distributed,8,smoc5,13.64,5032,10508,72748,86912,49788,3540,110240
6,distributed,8,smoc6,13.107,10652,11556,93208,99928,55012,3534,110720
6,distributed,8,smoc7,5.513,17572,13392,83556,82880,54980,3547,230400
6,distributed,9,smoc1,13.534,10424,12600,65252,90208,71172,3557,109600
6,distributed,9,smoc2,14.756,7492,11752,117912,122516,70348,3535,109600
6,distributed,9,smoc3,13.318,12900,9552,52604,55732,45592,3530,111080
6,distributed,9,smoc4,14.32,13008,10676,63632,82584,49764,3553,110920
6,distributed,9,smoc5,14.215,4296,12860,42992,57076,58164,3541,111640
6,distributed,9,smoc6,14.144,12336,13496,96064,101352,58604,3531,109560
6,distributed,9,smoc7,6.276,5584,1892,47100,46852,59308,3557,230400
6,distributed,10,smoc1,13.154,13268,10748,100212,107820,57968,3533,109640
6,distributed,10,smoc2,13.356,10960,8656,105640,112948,66100,3535,110560
6,distributed,10,smoc3,13.338,13480,10928,57816,73668,54572,3559,110920
6,distributed,10,smoc4,13.347,12504,10256,41276,57812,54660,3556,109480
6,distributed,10,smoc5,13.657,1968,10212,149764,170328,86528,3549,110440
6,distributed,10,smoc6,14.238,12020,10492,98360,113236,62960,3546,111360
6,distributed,10,smoc7,5.671,8460,11648,55336,59228,69452,3553,230400
6,conventional,1,smoc1,14.193,10308,13012,106912,125944,62664,3559,230400
6,conventional,1,smoc2,13.237,16392,12780,76796,83276,40440,3538,230400
6,conventional,1,smoc3,13.546,8920,10720,108588,118024,61312,3543,230400
6,conventional,1,smoc4,13.977,6972,9572,89952,112460,58108,3556,230400
6,conventional,1,smoc5,13.627,13684,11548,97260,99824,63988,3553,230400
6,conventional,1,smoc6,13.048,12736,10564,89192,92136,52828,3531,230400
6,conventional,1,smoc7,5.470,9228,4408,76272,77832,71460,3532,230400
6,conventional,2,smoc1,13.264,8080,10136,109592,132372,67980,3553,230400
6,conventional,2,smoc2,12.829,6712,9048,99188,108828,69020,3536,230400
6,conventional,2,smoc3,13.88,16540,15508,118520,123056,64932,3532,230400
6,conventional,2,smoc4,13.424,7824,10520,98480,108136,56776,3537,230400
6,conventional,2,smoc5,13.982,11016,13204,88984,109412,64232,3552,230400
6,conventional,2,smoc6,13.477,10892,12012,54672,79824,45564,3553,230400
6,conventional,2,smoc7,5.759,8512,12552,66788,75020,100392,3555,230400
6,conventional,3,smoc1,12.644,8328,7316,99220,104296,62960,3535,230400
6,conventional,3,smoc2,13.449,14116,9404,155656,161876,86872,3538,230400
6,conventional,3,smoc3,13.514,8908,9492,56292,82236,44524,3561,230400
6,conventional,3,smoc4,13.767,8344,10368,77604,87236,58344,3535,230400
6,conventional,3,smoc5,13.763,7368,8044,82668,93612,50792,3540,230400
6,conventional,3,smoc6,13.807,10712,10784,72892,84212,48412,3543,230400
6,conventional,3,smoc7,4.979,9128,5640,113348,113236,90868,3535,230400
6,conventional,4,smoc1,13.659,8676,10172,80988,87356,52624,3535,230400
6,conventional,4,smoc2,13.591,12460,11432,90336,102976,58724,3551,230400
6,conventional,4,smoc3,13.166,12584,10744,101436,106748,58380,3533,230400
6,conventional,4,smoc4,13.552,1888,10504,96560,121444,69644,3557,230400
6,conventional,4,smoc5,13.416,13220,11680,182840,185080,100156,3532,230400
6,conventional,4,smoc6,13.561,13200,13456,87640,111392,60728,3556,230400
6,conventional,4,smoc7,6.199,9800,2604,63848,67092,59072,3534,230400
6,conventional,5,smoc1,13.842,13732,13268,87788,94900,50092,3544,230400
6,conventional,5,smoc2,12.816,11636,10368,91636,96048,51232,3538,230400
6,conventional,5,smoc3,13.73,8376,10304,87592,113520,58252,3556,230400
6,conventional,5,smoc4,13.508,16468,11808,110000,114360,56544,3538,230400
6,conventional,5,smoc5,13.163,13732,11240,80512,82716,70576,3535,230400
6,conventional,5,smoc6,12.104,15476,13484,105572,105924,70216,3537,230400
6,conventional,5,smoc7,4.771,4104,1656,52276,47012,65224,3554,230400
6,conventional,6,smoc1,13.36,7172,10444,129200,138812,71592,3535,230400
6,conventional,6,smoc2,13.845,16212,12576,130052,151168,88448,3558,230400
6,conventional,6,smoc3,14.009,13732,11860,77156,81936,74564,3535,230400
6,conventional,6,smoc4,14.465,8656,9108,100044,120924,59416,3558,230400
6,conventional,6,smoc5,13.744,10260,11432,123872,129084,68536,3532,230400
6,conventional,6,smoc6,14.026,3676,9868,90696,109260,54592,3548,230400
6,conventional,6,smoc7,4.990,2104,1164,66524,61968,25660,3535,230400
6,conventional,7,smoc1,13.865,13916,10540,117200,132400,82164,3559,230400
6,conventional,7,smoc2,14.051,11492,10368,67704,75712,72408,3551,230400
6,conventional,7,smoc3,13.554,7076,10724,56120,67944,62180,3537,230400
6,conventional,7,smoc4,13.203,8608,8012,84184,87880,78596,3531,230400
6,conventional,7,smoc5,13.704,8516,10520,69996,101932,50296,3562,230400
6,conventional,7,smoc6,13.578,9156,10012,175712,180696,95392,3533,230400
6,conventional,7,smoc7,4.803,7812,1516,82404,77732,52568,3537,230400
6,conventional,8,smoc1,14.647,12660,11048,103560,108744,76084,3539,230400
6,conventional,8,smoc2,13.967,15496,11968,112048,117540,67452,3534,230400
6,conventional,8,smoc3,14.599,12788,10648,83992,103868,56200,3560,230400
6,conventional,8,smoc4,14.419,11192,11116,59496,77284,49680,3557,230400
6,conventional,8,smoc5,13.848,11080,9984,56380,68940,59072,3537,230400
6,conventional,8,smoc6,14.655,7068,9492,101912,115164,65536,3542,230400
6,conventional,8,smoc7,4.751,3992,2596,60996,59976,69480,3536,230400
6,conventional,9,smoc1,13.115,13500,12600,95304,103796,86204,3556,230400
6,conventional,9,smoc2,12.946,11660,10804,112496,119840,63012,3556,230400
6,conventional,9,smoc3,12.871,13664,12012,80980,90876,56464,3553,230400
6,conventional,9,smoc4,13.111,13988,13896,59396,62524,49160,3539,230400
6,conventional,9,smoc5,13.07,8112,10276,91940,100092,60424,3533,230400
6,conventional,9,smoc6,12.914,11252,13532,122388,129196,78524,3533,230400
6,conventional,9,smoc7,4.817,8452,6148,113788,116304,141640,3534,230400
6,conventional,10,smoc1,14.016,14764,10832,86212,94472,56088,3539,230400
6,conventional,10,smoc2,14.009,10576,9356,81628,99528,46548,3553,230400
6,conventional,10,smoc3,14.433,13280,13012,63316,83836,45048,3555,230400
6,conventional,10,smoc4,13.552,11964,10868,128680,134632,69188,3539,230400
6,conventional,10,smoc5,13.555,13480,13224,124800,130288,68232,3531,230400
6,conventional,10,smoc6,13.672,8288,10200,65880,92436,53832,3554,230400
6,conventional,10,smoc7,5.007,16516,7832,78276,69988,51128,3535,230400
6,mirrored,1,smoc1,13.687,2196,10404,90848,105584,55804,3537,132520
6,mirrored,1,smoc2,13.056,11396,10812,141176,144436,84428,3531,132520
6,mirrored,1,smoc3,14.224,11412,11216,111208,121728,79776,3553,135440
6,mirrored,1,smoc4,13.355,10540,10988,92760,106084,64820,3555,135440
6,mirrored,1,smoc5,13.614,14604,17428,133912,141208,88188,3533,135240
6,mirrored,1,smoc6,13.869,8972,10848,59136,83776,46876,3557,135240
6,mirrored,1,smoc7,6.534,24284,19788,135080,137440,134368,3549,230400
6,mirrored,2,smoc1,12.911,12600,11188,128216,136248,74388,3533,134320
6,mirrored,2,smoc2,13.271,13268,9540,91204,97796,52640,3555,134320
6,mirrored,2,smoc3,11.959,13500,13268,157716,158980,116260,3534,134760
6,mirrored,2,smoc4,13.514,13916,10300,152160,155952,86256,3533,134760
6,mirrored,2,smoc5,13.035,11276,10404,94236,101012,53828,3534,134120
6,mirrored,2,smoc6,13.88,13204,11068,117800,128404,67936,3548,134120
6,mirrored,2,smoc7,5.258,7968,3452,38564,40500,66764,3556,230400
6,mirrored,3,smoc1,12.076,12612,10776,105704,123832,76644,3551,133360
6,mirrored,3,smoc2,12.707,13500,11204,84524,86956,60864,3538,133360
6,mirrored,3,smoc3,12.9,7084,9012,115048,122888,71904,3534,133240
6,mirrored,3,smoc4,13.167,13940,12464,95444,97912,58648,3531,133240
6,mirrored,3,smoc5,13.111,11396,10524,116724,122708,69780,3534,136600
6,mirrored,3,smoc6,12.75,15724,10800,117176,118104,67932,3532,136600
6,mirrored,3,smoc7,5.051,6636,2508,54852,54924,68140,3538,230400
6,mirrored,4,smoc1,13.978,15808,12364,99856,102064,58032,3533,135480
6,mirrored,4,smoc2,13.571,6352,11520,73032,85388,76024,3555,135480
6,mirrored,4,smoc3,12.865,5316,11776,70652,96636,52316,3558,132920
6,mirrored,4,smoc4,13.556,10848,11012,97864,102284,60508,3530,132920
6,mirrored,4,smoc5,14.218,8568,10368,72784,85940,55904,3538,134800
6,mirrored,4,smoc6,12.915,13384,10620,144408,147244,83308,3534,134800
6,mirrored,4,smoc7,5.173,28900,20384,77276,79636,77868,3552,230400
6,mirrored,5,smoc1,12.456,8640,9520,122936,132024,60204,3534,133040
6,mirrored,5,smoc2,12.635,13916,10060,83344,91232,43904,3534,133040
6,mirrored,5,smoc3,13.644,10228,10288,94748,109372,50932,3533,134160
6,mirrored,5,smoc4,11.936,11352,13160,105656,124532,76704,3546,134160
6,mirrored,5,smoc5,12.878,8012,9552,92456,100316,47780,3536,136000
6,mirrored,5,smoc6,13.659,7352,8568,112388,122692,80100,3543,136000
6,mirrored,5,smoc7,5.901,11672,9148,52452,53528,64936,3550,230400
