ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,MaxMemoryUsageInKb,DeltaMemoryUsageInKbFromVmSize,DeltaMemoryUsageInKbFromTop
8,centralized,3,smoc1,87.645,2498716,2494148,2435
8,centralized,3,smoc2,89.308,2499320,2494800,2436
8,centralized,3,smoc3,88.941,2500004,2495436,2436
8,centralized,3,smoc4,88.944,2499692,2495116,2436
8,centralized,3,smoc5,89.253,2498908,2494232,2435
8,centralized,3,smoc6,89.357,2504084,2499052,2440
8,centralized,3,smoc7,86.424,2498364,2493696,2435
8,centralized,3,smoc8,20.324,2497468,2492948,2434
8,centralized,4,smoc1,89.492,2500668,2495832,2437
8,centralized,4,smoc2,89.736,2497988,2493468,2435
8,centralized,4,smoc3,88.803,2499168,2494600,2436
8,centralized,4,smoc4,89.117,2498352,2493784,2435
8,centralized,4,smoc5,89.51,2498128,2493620,2435
8,centralized,4,smoc6,89.189,2498824,2494156,2435
8,centralized,4,smoc7,88.025,2500916,2495768,2437
8,centralized,4,smoc8,19.627,2498284,2493768,2435
8,centralized,5,smoc1,87.238,2498472,2493444,2435
8,centralized,5,smoc2,88.505,2500528,2495536,2437
8,centralized,5,smoc3,88.712,2498740,2494272,2435
8,centralized,5,smoc4,88.928,2501048,2496048,2437
8,centralized,5,smoc5,88.541,2500244,2495676,2437
8,centralized,5,smoc6,88.714,2500304,2495636,2437
8,centralized,5,smoc7,86.64,2496760,2492076,2433
8,centralized,5,smoc8,19.959,2502652,2498128,2439
8,centralized,6,smoc1,85.232,2497748,2492720,2434
8,centralized,6,smoc2,84.481,2498668,2494000,2435
8,centralized,6,smoc3,82.827,2500136,2495460,2436
8,centralized,6,smoc4,85.761,2504052,2499480,2440
8,centralized,6,smoc5,84.165,2499016,2494316,2435
8,centralized,6,smoc6,84.154,2497308,2492428,2434
8,centralized,6,smoc7,84.479,2494548,2492784,2434
8,centralized,6,smoc8,19.145,2497244,2492668,2434
8,centralized,7,smoc1,86.636,2497724,2493200,2434
8,centralized,7,smoc2,86.581,2499764,2494648,2436
8,centralized,7,smoc3,86.007,2502044,2496404,2437
8,centralized,7,smoc4,87.043,2500520,2495616,2437
8,centralized,7,smoc5,86.842,2502492,2497824,2439
8,centralized,7,smoc6,86.906,2506052,2499592,2441
8,centralized,7,smoc7,86.424,2498076,2493048,2434
8,centralized,7,smoc8,20.711,2496760,2492192,2433
8,centralized,8,smoc1,88.599,2498604,2494088,2435
8,centralized,8,smoc2,88.487,2498996,2493964,2435
8,centralized,8,smoc3,88.648,2498200,2493620,2435
8,centralized,8,smoc4,89.458,2499480,2494960,2436
8,centralized,8,smoc5,89.3,2502996,2498468,2439
8,centralized,8,smoc6,89.523,2499352,2494844,2436
8,centralized,8,smoc7,87.29,2497532,2492964,2434
8,centralized,8,smoc8,20.310,2498856,2494276,2435
8,centralized,9,smoc1,88.061,2499816,2494832,2436
8,centralized,9,smoc2,88.432,2498472,2493876,2435
8,centralized,9,smoc3,88.47,2498604,2494092,2435
8,centralized,9,smoc4,88.48,2499620,2495048,2436
8,centralized,9,smoc5,87.469,2498864,2494188,2435
8,centralized,9,smoc6,88.362,2499188,2494192,2435
8,centralized,9,smoc7,84.814,2504064,2499396,2440
8,centralized,9,smoc8,20.276,2508368,2501308,2442
8,centralized,10,smoc1,86.619,2498316,2493648,2435
8,centralized,10,smoc2,87.815,2499724,2494884,2436
8,centralized,10,smoc3,86.775,2498844,2494168,2435
