ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,MaxMemoryUsageInKb,DeltaMemoryUsageInKbFromVmSize,DeltaMemoryUsageInKbFromTop
12,base,9,smoc9,144.272,2500184,2498756,2440
12,base,9,smoc10,143.063,2499852,2497448,2438
12,base,9,smoc11,142.421,2498508,2497080,2438
12,base,9,smoc12,17.849,2492016,2492016,2433
12,base,10,smoc1,143.104,2503496,2497516,2438
12,base,10,smoc2,143.996,2500936,2495324,2436
12,base,10,smoc3,144.955,2499628,2494596,2436
12,base,10,smoc4,147.601,2499680,2498252,2439
12,base,10,smoc5,144.235,2507896,2500832,2442
12,base,10,smoc6,143.978,2494500,2493076,2434
12,base,10,smoc7,145.379,2499040,2494208,2435
12,base,10,smoc8,143.743,2507556,2500492,2441
12,base,10,smoc9,146.438,2502320,2498088,2439
12,base,10,smoc10,144.921,2508772,2501704,2443
12,base,10,smoc11,144.67,2509200,2502140,2443
12,base,10,smoc12,13.76,2502180,2495124,2436
12,our,1,smoc1,145.757,2498672,2494440,2435
12,our,1,smoc2,146.386,2500724,2495876,2437
12,our,1,smoc3,145.466,2497848,2494548,2436
12,our,1,smoc4,150.712,2494400,2492876,2434
12,our,1,smoc5,145.711,2501452,2497136,2438
12,our,1,smoc6,144.189,2496276,2494748,2436
12,our,1,smoc7,144.963,2496556,2494072,2435
12,our,1,smoc8,145.723,2498516,2494200,2435
12,our,1,smoc9,150.718,2506868,2499808,2441
12,our,1,smoc10,145.536,2501064,2499816,2441
12,our,1,smoc11,145.808,2497072,2493792,2435
12,our,1,smoc12,23.286,2499600,2497760,2439
12,our,2,smoc1,144.423,2498404,2495920,2437
12,our,2,smoc2,142.849,2496308,2493824,2435
12,our,2,smoc3,144.482,2503016,2501356,2442
12,our,2,smoc4,145.419,2497616,2493300,2434
12,our,2,smoc5,144.137,2499784,2497300,2438
12,our,2,smoc6,143.417,2506208,2500968,2442
12,our,2,smoc7,143.073,2497936,2493724,2435
12,our,2,smoc8,143.44,2495452,2492824,2434
12,our,2,smoc9,144.31,2497888,2496452,2437
12,our,2,smoc10,144.007,2495448,2494024,2435
12,our,2,smoc11,143.34,2495340,2492856,2434
12,our,2,smoc12,22.776,2498764,2494248,2435
12,our,3,smoc1,145.215,2503608,2496580,2438
12,our,3,smoc2,146.162,2498196,2496648,2438
12,our,3,smoc3,140.43,2498820,2493976,2435
12,our,3,smoc4,146.414,2496636,2495088,2436
12,our,3,smoc5,141.705,2499156,2496672,2438
12,our,3,smoc6,141.038,2496220,2493736,2435
12,our,3,smoc7,142.262,2507248,2500188,2441
12,our,3,smoc8,140.696,2497732,2495248,2436
12,our,3,smoc9,145.702,2497324,2494840,2436
12,our,3,smoc10,141.239,2498968,2496560,2438
12,our,3,smoc11,140.821,2500128,2497644,2439
12,our,3,smoc12,24.325,2499872,2494880,2436
12,our,4,smoc1,141.481,2498252,2495768,2437
12,our,4,smoc2,141.71,2497728,2492824,2434
12,our,4,smoc3,141.51,2494028,2492760,2434
12,our,4,smoc4,142.215,2496052,2491816,2433
12,our,4,smoc5,141.691,2497752,2493448,2435
12,our,4,smoc6,142.219,2499712,2495424,2436
12,our,4,smoc7,141.426,2500400,2496096,2437
12,our,4,smoc8,141.488,2498168,2495684,2437
12,our,4,smoc9,142.873,2499608,2497072,2438
12,our,4,smoc10,141.65,2498140,2493824,2435
12,our,4,smoc11,142.112,2508152,2501092,2442
12,our,4,smoc12,22.651,2499536,2495016,2436
12,our,5,smoc1,143.099,2507896,2500836,2442
12,our,5,smoc2,146.097,2503300,2496524,2438
12,our,5,smoc3,142.487,2501668,2499184,2440
12,our,5,smoc4,144.139,2496052,2494524,2436
12,our,5,smoc5,143.011,2496264,2493780,2435
12,our,5,smoc6,142.453,2498964,2494660,2436
12,our,5,smoc7,143.48,2500764,2496456,2437
12,our,5,smoc8,143.339,2503212,2498224,2439
12,our,5,smoc9,144.118,2497276,2494792,2436
12,our,5,smoc10,143.509,2499204,2494888,2436
12,our,5,smoc11,143.129,2499704,2495472,2436
12,our,5,smoc12,24.073,2498228,2493712,2435
12,our,6,smoc1,143.983,2498460,2495968,2437
12,our,6,smoc2,143.867,2495388,2493956,2435
12,our,6,smoc3,145.477,2498496,2493592,2435
12,our,6,smoc4,146.234,2498492,2494188,2435
12,our,6,smoc5,145.541,2496100,2494572,2436
12,our,6,smoc6,142.831,2499404,2494292,2435
12,our,6,smoc7,143.969,2499800,2494852,2436
12,our,6,smoc8,145.894,2495244,2492760,2434
12,our,6,smoc9,144.73,2497160,2495724,2437
12,our,6,smoc10,145.162,2499468,2495248,2436
12,our,6,smoc11,145.339,2502388,2499904,2441
12,our,6,smoc12,22.340,2501604,2497136,2438
12,our,7,smoc1,141.766,2498800,2496316,2437
12,our,7,smoc2,143.271,2497780,2492784,2434
