ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,VmPeak,VmSize,VmHWM,VmRSS,VmData,DeltaMemoryUsageInKbFromTop
12,distributed,2,smoc9,34.885,8704,8372,72144,81200,56624,4080
12,distributed,2,smoc10,35.105,10640,10772,70036,83124,67712,4081
12,distributed,2,smoc11,34.091,11312,10816,78104,84996,44328,4084
12,distributed,2,smoc12,34.74,12308,7928,73384,83084,66684,4079
12,distributed,2,smoc13,7.043,12312,11640,91040,87340,94844,4091
12,distributed,3,smoc1,34.571,11100,10380,79872,82592,62172,4076
12,distributed,3,smoc2,29.82,10760,7780,81844,83320,63680,4069
12,distributed,3,smoc3,33.445,13344,12408,77424,80756,65128,4085
12,distributed,3,smoc4,32.586,7504,9796,79016,85396,74360,4082
12,distributed,3,smoc5,34.818,9348,7928,82900,84044,76524,4089
12,distributed,3,smoc6,32.423,7368,7300,10180,24624,27484,4082
12,distributed,3,smoc7,30.692,6172,6532,12836,14972,15592,4079
12,distributed,3,smoc8,32.096,9740,8776,12884,19068,6940,4092
12,distributed,3,smoc9,32.586,3292,9444,14896,24452,18556,4085
12,distributed,3,smoc10,34.142,6024,7788,70344,77964,71784,4085
12,distributed,3,smoc11,33.158,1016,8768,51124,67960,56272,4091
12,distributed,3,smoc12,32.944,9492,9224,79320,89592,67372,4076
12,distributed,3,smoc13,8.049,16236,7196,83708,79976,82180,4091
12,distributed,4,smoc1,33.338,3376,7556,21764,25040,24496,4092
12,distributed,4,smoc2,33.941,6292,9552,15504,20944,21864,4074
12,distributed,4,smoc3,32.751,8584,7548,80484,83868,45144,4086
12,distributed,4,smoc4,33.529,5236,8116,57344,74768,60636,4086
12,distributed,4,smoc5,34.075,9440,8592,13976,18368,13404,4078
12,distributed,4,smoc6,31.391,2016,6504,47612,62476,57232,4082
12,distributed,4,smoc7,32.219,11312,9080,61460,67700,53772,4068
12,distributed,4,smoc8,32.954,7728,6468,48120,72960,65004,4089
12,distributed,4,smoc9,34.942,11532,8816,59244,70560,50752,4083
