ReplicaSet,Solution,SmocId,Experiment,RestoreDurationInSec,VmPeak,VmSize,VmHWM,VmRSS,VmData,DeltaMemoryUsageInKbFromTop
6,distributed,smoc6,1,17.388,13684,11080,149172,156484,106360,3552
6,distributed,smoc7,1,7.376,11944,7196,98368,98128,118848,3555
6,distributed,smoc1,2,13.457,13452,11780,92028,105356,54276,3562
6,distributed,smoc2,2,13.898,13732,10640,80568,92476,51912,3551
6,distributed,smoc3,2,13.654,13268,10748,123300,126040,69204,3543
6,distributed,smoc4,2,13.084,19040,15236,86068,91016,66868,3565
6,distributed,smoc5,2,14.117,10856,10780,122708,126828,70444,3543
6,distributed,smoc6,2,14.174,8872,9352,97736,106176,60784,3553
6,distributed,smoc7,2,5.322,6960,5728,87432,86920,116172,3571
6,distributed,smoc1,3,14.343,11768,10996,83720,94684,60864,3557
6,distributed,smoc2,3,13.259,6984,9492,106748,113316,57340,3545
6,distributed,smoc3,3,14.127,7472,10272,151260,159580,190836,3555
6,distributed,smoc4,3,14.877,3008,12008,70308,87776,56848,3565
6,distributed,smoc5,3,14.113,13732,13036,132876,132752,123312,3552
6,distributed,smoc6,3,14.653,11728,10712,77976,91720,49568,3557
6,distributed,smoc7,3,4.751,8492,7724,80892,80532,105696,3564
6,distributed,smoc1,4,14.669,11876,10708,104800,117976,67884,3558
6,distributed,smoc2,4,14.257,10480,9480,125428,131124,73292,3550
6,distributed,smoc3,4,13.946,13480,11532,88860,100196,54996,3555
6,distributed,smoc4,4,13.04,8256,11012,88560,100108,58284,3553
6,distributed,smoc5,4,14.387,13392,11780,86052,93348,52944,3563
6,distributed,smoc6,4,14.489,516,9556,67960,87144,55140,3559
6,distributed,smoc7,4,5.602,9188,200,65724,64856,91636,3565
6,distributed,smoc1,5,14.135,8560,9556,115692,128960,80876,3554
6,distributed,smoc2,5,14.558,13480,11012,95652,95872,59892,3550
6,distributed,smoc3,5,13.674,11240,10660,103664,119848,72628,3558
6,distributed,smoc4,5,14.643,5900,9708,88472,102028,62292,3567
6,distributed,smoc5,5,14.018,8872,9920,87236,109472,102192,3567
6,distributed,smoc6,5,13.557,9716,11748,116568,125216,69920,3543
6,distributed,smoc7,5,5.231,8296,5460,67864,67008,126300,3571
6,distributed,smoc1,6,14.329,11784,9572,129016,148212,146004,3566
6,distributed,smoc2,6,14.871,8444,8808,82460,95920,57936,3559
6,distributed,smoc3,6,14.711,4156,9520,78300,97076,54020,3559
6,distributed,smoc4,6,14.064,11568,9712,107668,115152,70624,3551
6,distributed,smoc5,6,15.261,13500,13268,130428,149352,84456,3565
6,distributed,smoc6,6,15.197,12180,10868,123004,132060,83848,3557
6,distributed,smoc7,6,6.252,14964,7968,73012,73548,88608,3551
6,distributed,smoc1,7,14.222,11508,10772,105204,117928,67100,3561
6,distributed,smoc2,7,12.929,7568,8012,107188,108848,57440,3547
6,distributed,smoc3,7,14.165,8848,11572,93528,105480,55780,3560
6,distributed,smoc4,7,14.116,13684,10804,68656,83244,55828,3567
6,distributed,smoc5,7,13.366,13688,12948,76808,86628,44712,3554
6,distributed,smoc6,7,13.262,13500,11628,94100,100740,62280,3552
6,distributed,smoc7,7,5.228,9324,6340,63396,59864,49452,3563
6,distributed,smoc1,8,14.702,9004,9712,87164,97960,55616,3559
6,distributed,smoc2,8,13.445,15976,11028,130880,129592,65156,3545
6,distributed,smoc3,8,15.245,13100,11736,92772,104000,60908,3564
6,distributed,smoc4,8,14.645,9300,10936,70068,90112,54036,3558
6,distributed,smoc5,8,15.557,7812,12244,84104,101772,56888,3568
6,distributed,smoc6,8,14.757,4848,10504,113780,125872,63612,3552
6,distributed,smoc7,8,5.140,11048,6948,69484,70020,100332,3566
6,distributed,smoc1,9,15.088,3124,11340,118116,134800,83308,3561
6,distributed,smoc2,9,14.523,13916,13204,85560,100980,54748,3563
6,distributed,smoc3,9,15.07,7228,9492,130960,141068,136896,3552
6,distributed,smoc4,9,14.418,3576,9784,98956,111176,60908,3555
6,distributed,smoc5,9,14.607,6256,10200,121424,136296,85700,3569
6,distributed,smoc6,9,15.706,12616,10844,115848,130268,122444,3562
6,distributed,smoc7,9,6.065,14248,7864,92136,94388,137736,3553
6,distributed,smoc1,10,14.296,1528,10344,83284,99932,49872,3560
6,distributed,smoc2,10,14.605,12932,10256,122740,124320,116308,3560
6,distributed,smoc3,10,13.863,12388,12156,121056,128256,66044,3551
6,distributed,smoc4,10,13.877,8916,9492,77356,91692,49360,3553
6,distributed,smoc5,10,14.872,7512,9540,124704,138596,84816,3558
6,distributed,smoc6,10,14.839,7204,9176,130768,136968,81472,3556
6,distributed,smoc7,10,5.261,12924,5796,65236,63932,80936,3564
6,centralized,smoc1,1,17.924,10860,9896,108304,115636,69160,3557
6,centralized,smoc2,1,17.393,7576,8912,139584,144132,103800,3550
6,centralized,smoc3,1,17.746,10112,9480,110456,117776,80436,3550
6,centralized,smoc4,1,17.577,12936,11484,138832,146980,93812,3542
6,centralized,smoc5,1,17.963,13916,10328,132664,143320,93512,3559
6,centralized,smoc6,1,17.679,4868,10444,128100,139460,84152,3562
6,centralized,smoc7,1,5.650,10192,5420,82004,84036,87424,3548
6,centralized,smoc1,2,14.742,11948,10740,71056,90400,58820,3568
6,centralized,smoc2,2,13.175,9120,9308,114788,127440,64384,3549
6,centralized,smoc3,2,13.373,9496,9276,73796,93604,56104,3567
6,centralized,smoc4,2,13.615,5784,10008,126332,131660,72432,3544
6,centralized,smoc5,2,14.876,10128,9544,72936,84440,50184,3555
6,centralized,smoc6,2,14.587,7540,8456,83524,94016,49104,3559
6,centralized,smoc7,2,4.709,4976,4824,53680,49044,71868,3560
