ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,MaxMemoryUsageInKb,DeltaMemoryUsageInKbFromVmSize,DeltaMemoryUsageInKbFromTop
4,our,1,smoc1,15.335,2482964,2477860,2419
4,our,1,smoc2,15.203,2480908,2477788,2419
4,our,1,smoc3,14.362,2481744,2478640,2420
4,our,1,smoc4,14.528,2483032,2478344,2420
4,our,2,smoc1,13.845,2482204,2476968,2418
4,our,2,smoc2,14.454,2481220,2478976,2420
4,our,2,smoc3,14.508,2485260,2478176,2420
4,our,2,smoc4,14.769,2480764,2477660,2419
4,our,3,smoc1,14.026,2485848,2480164,2422
4,our,3,smoc2,13.837,2481028,2477904,2419
4,our,3,smoc3,14.026,2484612,2477752,2419
4,our,3,smoc4,13.960,2480564,2477452,2419
4,base,1,smoc1,10.455,2494416,2494160,2435
4,base,1,smoc2,9.247,2496520,2495448,2436
4,base,1,smoc3,10.066,2495544,2494016,2435
4,base,1,smoc4,9.569,2495816,2474792,2436
4,base,2,smoc1,11.124,2505236,2497580,2439
4,base,2,smoc2,11.999,2496916,2495892,2437
4,base,2,smoc3,10.759,2495048,2494020,2435
4,base,2,smoc4,10.619,2493884,2493560,2435
4,base,3,smoc1,22.247,2480044,2477380,2419
4,base,3,smoc2,23.376,2482220,2477544,2419
4,base,3,smoc3,20.595,2482388,2477192,2419
4,base,3,smoc4,18.551,2480972,2478456,2420
8,base,1,smoc1,10.030,2500204,2495348,2436
8,base,1,smoc2,9.847,2496700,2495468,2436
8,base,1,smoc3,9.164,2496212,2495188,2436
8,base,1,smoc4,9.307,2496304,2495280,2436
8,base,1,smoc5,9.359,2508260,2501200,2442
8,base,1,smoc6,10.369,2504304,2501208,2442
8,base,1,smoc7,9.649,2495880,2494856,2436
8,base,1,smoc8,11.445,2494600,2493576,2435
8,base,2,smoc1,9.419,2495604,2494580,2436
8,base,2,smoc2,9.842,2496580,2495156,2436
8,base,2,smoc3,9.677,2495560,2494868,2436
8,base,2,smoc4,9.387,2496348,2495324,2436
8,base,2,smoc5,9.383,2495180,2494928,2436
8,base,2,smoc6,9.741,2495996,2494972,2436
8,base,2,smoc7,9.649,2495360,2494336,2435
8,base,2,smoc8,9.842,2496580,2495156,2436
12,our,1,smoc1,32.162,2482460,2477756,2419
12,our,1,smoc2,36.455,2482896,2478052,2419   
12,our,1,smoc3,30.306,2483516,2477676,2419
12,our,1,smoc4,31.865,2483984,2478456,2420
12,our,1,smoc5,28.712,2481332,2477236,2419
12,our,1,smoc6,32.833,2481728,2477560,2419
12,our,1,smoc7,27.237,2480256,2477104,2419
12,our,1,smoc8,28.091,2483592,2479140,2421
12,our,1,smoc9,27.237,2480256,2477104,2419
12,our,1,smoc10,27.465,2481216,2477048,2418
12,our,1,smoc11,30.612,2482088,2477268,2419
12,our,1,smoc12,26.742,2482412,2479288,2421
