Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,9.556,2500840,2495832,2437
2,9.366,2496348,2495324,2436
3,9.930,2493964,2493964,2435
4,9.434,2498488,2496156,2437
5,9.369,2495876,2494852,2436
6,9.027,2496296,2495272,2436
7,9.459,2500144,2495280,2436
8,8.901,2496052,2495728,2437
9,9.300,2495544,2495292,2436
10,9.274,2495720,2494692,2436
11,9.238,2497936,2496248,2437
12,9.606,2495752,2494680,2436
13,9.431,2496388,2494880,2436
14,9.612,2496408,2496084,2437
15,9.440,2495364,2495040,2436
16,8.763,2496024,2495048,2436
17,9.659,2497656,2496632,2438
18,9.543,2495556,2494532,2436
19,9.322,2495332,2495024,2436
20,10.699,2495280,2494208,2435
