Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,9.969,2495008,2493936,2435
2,10.279,2507132,2500072,2441
3,9.452,2502920,2495600,2437
4,10.166,2496128,2495104,2436
5,10.409,2495088,2494836,2436
6,10.001,2498184,2495536,2437
7,10.004,2496576,2495504,2437
8,11.286,2495676,2494648,2436
9,10.105,2495420,2494396,2435
10,9.834,2495096,2494072,2435
11,9.796,2494552,2494296,2435
12,10.276,2501564,2500540,2441
13,10.653,2501100,2495988,2437
14,10.085,2500088,2497144,2438
15,9.903,2495224,2494200,2435
16,9.909,2495588,2494560,2436
17,10.100,2494508,2494508,2436
18,10.722,2503756,2500412,2441
19,10.240,2498660,2493796,2435
20,10.442,2493684,2493684,2435
