Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,11.061,2494088,2493764,2435
2,11.999,2496916,2495892,2437
3,10.844,2495000,2493976,2435
4,10.842,2495088,2494764,2436
5,10.693,2495156,2495156,2436
6,10.619,2493884,2493560,2435
7,10.977,2493940,2493940,2435
8,11.030,2495556,2494028,2435
9,10.982,2499040,2496368,2437
10,11.044,2494644,2493620,2435
11,11.688,2493832,2492808,2434
12,10.759,2495048,2494020,2435
13,11.124,2505236,2497580,2439
14,11.767,2494988,2494988,2436
15,11.112,2494276,2493248,2434
16,11.885,2495724,2494696,2436
17,11.577,2494416,2493392,2434
18,11.366,2497188,2496164,2437
19,11.388,2493488,2493236,2434
20,11.429,2496380,2495356,2436
